pozisyon,sirket,sehir,aciklama,gereksinimler
Mobil Uygulama Geliştiricisi,VeriPlus,İstanbul,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","İyi derecede İngilizce bilgisi, Takım çalışmasına yatkınlık, Problem çözme becerisi"
Makine Öğrenmesi Uzmanı,DataTech,Bursa,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık, Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe, Yeni teknolojileri öğrenmeye açıklık"
Java Yazılım Mühendisi,WebZone,Eskişehir,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Problem çözme becerisi, Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği"
Veri Mühendisi,VeriPlus,Bursa,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği, Takım çalışmasına yatkınlık"
Veri Analisti,BüyükVeri Ltd.,İzmir,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","İyi derecede İngilizce bilgisi, Yeni teknolojileri öğrenmeye açıklık, Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Frontend Developer,Mobilify,Ankara,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi, İlgili teknolojilerde bilgi ve tecrübe"
Java Yazılım Mühendisi,VeriPlus,Eskişehir,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","En az 3 yıl yazılım geliştirme deneyimi, Yeni teknolojileri öğrenmeye açıklık, Takım çalışmasına yatkınlık, İlgili teknolojilerde bilgi ve tecrübe"
Mobil Uygulama Geliştiricisi,KodaYazılım,Ankara,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"İlgili teknolojilerde bilgi ve tecrübe, Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık"
Frontend Developer,KodaYazılım,Ankara,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi"
Makine Öğrenmesi Uzmanı,Mobilify,Bursa,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","İlgili teknolojilerde bilgi ve tecrübe, Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık"
Makine Öğrenmesi Uzmanı,Mobilify,Bursa,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Yeni teknolojileri öğrenmeye açıklık, Takım çalışmasına yatkınlık, Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe, Üniversitelerin ilgili bölümlerinden mezun olmak"
Frontend Developer,Techsoft,Gaziantep,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Problem çözme becerisi, Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi"
Mobil Uygulama Geliştiricisi,Techsoft,Ankara,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, İlgili teknolojilerde bilgi ve tecrübe, Analitik düşünme yeteneği, Problem çözme becerisi, İyi derecede İngilizce bilgisi"
Veri Analisti,DeepAI,Ankara,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","İyi derecede İngilizce bilgisi, Yeni teknolojileri öğrenmeye açıklık, Takım çalışmasına yatkınlık, En az 3 yıl yazılım geliştirme deneyimi"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Makine Öğrenmesi Uzmanı,DataTech,Antalya,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Analitik düşünme yeteneği, İyi derecede İngilizce bilgisi, Yeni teknolojileri öğrenmeye açıklık, Takım çalışmasına yatkınlık"
Java Yazılım Mühendisi,DeepAI,Antalya,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği, Takım çalışmasına yatkınlık"
Makine Öğrenmesi Uzmanı,DeepAI,Kocaeli,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak, Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi"
Java Yazılım Mühendisi,DeepAI,Ankara,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe"
Mobil Uygulama Geliştiricisi,Techsoft,Kocaeli,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Takım çalışmasına yatkınlık, İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe"
Veri Analisti,WebZone,Ankara,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Üniversitelerin ilgili bölümlerinden mezun olmak, Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi, Problem çözme becerisi"
Web Geliştirici,Mobilify,İzmir,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","Problem çözme becerisi, En az 3 yıl yazılım geliştirme deneyimi, İyi derecede İngilizce bilgisi, Yeni teknolojileri öğrenmeye açıklık"
Python Geliştiricisi,Mobilify,Gaziantep,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Takım çalışmasına yatkınlık, İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi, Analitik düşünme yeteneği"
Veri Analisti,DeepAI,İstanbul,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe, Yeni teknolojileri öğrenmeye açıklık"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Python Geliştiricisi,Techsoft,Ankara,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Takım çalışmasına yatkınlık, Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak, Yeni teknolojileri öğrenmeye açıklık, İlgili teknolojilerde bilgi ve tecrübe"
Mobil Uygulama Geliştiricisi,VeriPlus,Eskişehir,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","İlgili teknolojilerde bilgi ve tecrübe, Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak"
Java Yazılım Mühendisi,DeepAI,Ankara,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi, Yeni teknolojileri öğrenmeye açıklık"
Makine Öğrenmesi Uzmanı,Techsoft,Kocaeli,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","İyi derecede İngilizce bilgisi, Takım çalışmasına yatkınlık, Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi"
Mobil Uygulama Geliştiricisi,Techsoft,İstanbul,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe, Üniversitelerin ilgili bölümlerinden mezun olmak, Yeni teknolojileri öğrenmeye açıklık"
Web Geliştirici,Techsoft,Kocaeli,"Frontend projelerinde görev alacak, React ve JavaScript konusunda tecrübeli ekip arkadaşları arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, Takım çalışmasına yatkınlık"
Mobil Uygulama Geliştiricisi,BüyükVeri Ltd.,İstanbul,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Problem çözme becerisi, İlgili teknolojilerde bilgi ve tecrübe, Analitik düşünme yeteneği, Takım çalışmasına yatkınlık"
Mobil Uygulama Geliştiricisi,BüyükVeri Ltd.,Kocaeli,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","İlgili teknolojilerde bilgi ve tecrübe, İyi derecede İngilizce bilgisi, En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi, Analitik düşünme yeteneği"
Web Geliştirici,Mobilify,Ankara,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, En az 3 yıl yazılım geliştirme deneyimi, Problem çözme becerisi, Analitik düşünme yeteneği"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Makine Öğrenmesi Uzmanı,KodaYazılım,Eskişehir,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği, Takım çalışmasına yatkınlık, Problem çözme becerisi"
Java Yazılım Mühendisi,WebZone,Gaziantep,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık, Analitik düşünme yeteneği"
Makine Öğrenmesi Uzmanı,WebZone,Gaziantep,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","İlgili teknolojilerde bilgi ve tecrübe, Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi, İyi derecede İngilizce bilgisi, Üniversitelerin ilgili bölümlerinden mezun olmak"
Frontend Developer,Mobilify,Bursa,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","En az 3 yıl yazılım geliştirme deneyimi, Yeni teknolojileri öğrenmeye açıklık, Problem çözme becerisi, Takım çalışmasına yatkınlık"
Java Yazılım Mühendisi,VeriPlus,İzmir,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","İlgili teknolojilerde bilgi ve tecrübe, İyi derecede İngilizce bilgisi, Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği"
Makine Öğrenmesi Uzmanı,KodaYazılım,İstanbul,"Makine öğrenmesi projelerinde çalışacak, TensorFlow veya PyTorch kütüphanelerine hakim mühendis arayışımız vardır.","Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi, Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık"
Veri Analisti,KodaYazılım,Ankara,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Analitik düşünme yeteneği, Takım çalışmasına yatkınlık, İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe"
Frontend Developer,DeepAI,Kocaeli,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Üniversitelerin ilgili bölümlerinden mezun olmak, Problem çözme becerisi, İyi derecede İngilizce bilgisi"
Java Yazılım Mühendisi,BüyükVeri Ltd.,Kocaeli,Yazılım departmanımızda görevlendirilmek üzere Java konusunda en az 3 yıl deneyimli mühendis aramaktayız.,"İlgili teknolojilerde bilgi ve tecrübe, En az 3 yıl yazılım geliştirme deneyimi, Üniversitelerin ilgili bölümlerinden mezun olmak"
Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş,Belirtilmemiş
Python Geliştiricisi,BüyükVeri Ltd.,Antalya,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği, Üniversitelerin ilgili bölümlerinden mezun olmak"
Makine Öğrenmesi Uzmanı,Techsoft,İstanbul,"Veri analizi projelerinde yer alacak, SQL ve Python bilgisine sahip adaylar tercih sebebidir.","En az 3 yıl yazılım geliştirme deneyimi, Yeni teknolojileri öğrenmeye açıklık, Takım çalışmasına yatkınlık"
Veri Mühendisi,KodaYazılım,Eskişehir,Mobil uygulama geliştirme projeleri için Android ve iOS deneyimi olan geliştirici arıyoruz.,"Takım çalışmasına yatkınlık, En az 3 yıl yazılım geliştirme deneyimi, Yeni teknolojileri öğrenmeye açıklık"
Web Geliştirici,DeepAI,İzmir,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık, İyi derecede İngilizce bilgisi"
Python Geliştiricisi,KodaYazılım,Eskişehir,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık"
Java Yazılım Mühendisi,VeriPlus,Kocaeli,"Firmamız için deneyimli bir Python geliştiricisi arıyoruz. Ekip çalışmasına yatkın, problem çözme becerileri yüksek adaylar tercih edilecektir.","Üniversitelerin ilgili bölümlerinden mezun olmak, İlgili teknolojilerde bilgi ve tecrübe, İyi derecede İngilizce bilgisi, Analitik düşünme yeteneği, Yeni teknolojileri öğrenmeye açıklık"
Makine Öğrenmesi Uzmanı,DeepAI,Gaziantep,"Büyük veri projelerinde yer alacak, veri görselleştirme araçları konusunda deneyimli veri mühendisi arıyoruz.","Üniversitelerin ilgili bölümlerinden mezun olmak, Takım çalışmasına yatkınlık, Yeni teknolojileri öğrenmeye açıklık, Analitik düşünme yeteneği, En az 3 yıl yazılım geliştirme deneyimi"
Makine Öğrenmesi Uzmanı,KodaYazılım,İzmir,"Web projeleri için HTML, CSS ve modern framework'lere hakim front-end geliştirici arıyoruz.","Takım çalışmasına yatkınlık, İyi derecede İngilizce bilgisi, İlgili teknolojilerde bilgi ve tecrübe"
